filed (Year filed),end (Year end),host (Hos tstate ISO3),home (Home state ISO3),home2 (Home state2 ISO3),home3 (Home state3 ISO3),home4 (Home state4 ISO3),home5 (Home state5 ISO3),parties (Parties to arbitration),venue (Venue or rules adopted),caseno (Case no.),legal (Legal doc. invoked),invsttype (Text on investment type),sector (Sector 3-letter code),asought_text (Text on award sought),"asought_usm (Award sought in US$m, exchange rate at time of filing, less interest/costs)",concluded (Arbitration concluded),winner (Status/winner pre-annulment),awardinvst_text (Text on award to investor),"awardinvst_usm (Award to investor in US$m, not including costs/interest)",annul (Annulment filed),annul_filed (Year annulment filed),Annul_end (Year annulment ends),annulstatus (Status of annulment)
2014,pending,GMB,GBR,n.a.,n.a.,n.a.,n.a.,African Petroleum Gambia Limited (Block A4) v. Republic of The Gambia,ICSID,ARB/14/7,Contract with host state,Oil and gas,OIL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,GMB,GBR,n.a.,n.a.,n.a.,n.a.,African Petroleum Gambia Limited (Block A1) v. Republic of The Gambia,ICSID,ARB/14/6,Contract with host state,Oil and gas,OIL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,GNQ,ESP,n.a.,n.a.,n.a.,n.a.,Grupo Francisco Hernando Contreras v. Republic of Equatorial Guinea  ,ICSID AF,ARB(AF)/12/2,Equatorial Guinea-Spain BIT,Real estate (residential and commercial),RE,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,GNQ,ESP,n.a.,n.a.,n.a.,n.a.,"Hess Equatorial Guinea, Inc. y Tullow Equatorial Guinea Limited v. Republic of Equatorial Guinea",ICSID CR,CONC(AF)/12/1,Equatorial Guinea-Spain BIT,Oil and gas,OIL,US$580m,580,no,pending,n.a.,n.a.,no,n.a.,n.a.,n.a.
2013,pending,GRC,CYP,SVK,n.a.,n.a.,n.a.,"Po_tov‡ banka, a.s. and ISTROKAPITAL SE v. Greece",ICSID,ARB/13/8,"Cyprus-Greece BIT, Slovakia-Greece BIT",Finance (debt instruments),FIN,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,GRC,CYP,n.a.,n.a.,n.a.,n.a.,Cyprus Popular Bank Public Co. Ltd. V. Hellenic Republic,ICSID,ARB/14/16,Greece-Cyprus BIT,Finance (debt instruments),FIN,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1997,1998,GRD,USA,n.a.,n.a.,n.a.,n.a.,WRB Enterprises & Grenada Private Power Limited v. Grenada ,ICSID,ARB/97/5,Contract with host state,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2005,2011,GRD,USA,n.a.,n.a.,n.a.,n.a.,RSM Production Corporation v. Grenada,ICSID,ARB/05/14,Contract with host state,Oil and gas (exploration),OIL,unknown,unknown,yes,state,0,0,yes,2009,2011,discontinued
2007,2012,GTM,USA,n.a.,n.a.,n.a.,n.a.,Railroad Development Corporation v. Republic of Guatemala ,ICSID,ARB/07/23,CAFTA-DR,Transportation (rail),UTL,US$65m,65,yes,investor,"Award enumerated in three parts: US$6.57m, US$1.35m, and US$3.38m. Plus compound interest and administrative fees (of US$385k plus US$192k).",11.3,no,n.a.,n.a.,n.a.
2009,2012,GTM,ESP,n.a.,n.a.,n.a.,n.a.,"Iberdrola EnergÕa, S.A. v. Republic of Guatemala",ICSID,ARB/09/5,Guatemala-Spain BIT,Electric power concession,UTL,unknown,unknown,yes,state,0,0,yes,2012,pending,pending
2010,2013,GTM,USA,n.a.,n.a.,n.a.,n.a.,"TECO Guatemala Holdings, LLC v. Republic of Guatemala",ICSID,ARB/10/23,CAFTA-DR,Electric power concession,UTL,US$222484783,222.5,yes,investor,"US$21.1m, plus interest (plus legal costs of US$7.52m)",21.1,yes,2014,pending,pending
2001,2003,GUY,GBR,n.a.,n.a.,n.a.,n.a.,Booker PLC v. Guyana,ICSID,ARB/01/9,Guyana-United Kingdom BIT,Agricultural enterprise (sugar),AGR,"Approximately US$10m in damages, plus US$8m in interest and costs",10,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1999,2000,HND,ITA,PAN,n.a.,n.a.,n.a.,Astaldi SpA & Columbus Latinoamericana de Construcciones SA v. Republic of Honduras ,ICSID,ARB/99/8,Contract with host state,Highway construction project ,UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2007,2010,HND,ITA,n.a.,n.a.,n.a.,n.a.,Astaldi SpA v. Republic of Honduras ,ICSID,ARB/07/32,Contract with host state,Highway construction project ,UTL,unknown,unknown,yes,investor,"US$5.48m, plus interests and legal costs",5.5,yes,2011,2011,discontinued
2009,2012,HND,ESP,n.a.,n.a.,n.a.,n.a.,Elsamex v. Honduras,ICSID,ARB/09/4,Contract with host state,Highway construction project ,UTL,unknown,unknown,yes,investor,US$8m,8,yes,2013,pending,pending
2007,2010,HRV,AUT,n.a.,n.a.,n.a.,n.a.,Adria Beteiligungs GmbH v. The Republic of Croatia,UNCITRAL,n.a.,Austria-Croatia BIT,Gaming,SER,Approximately US$64m,64,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2004,2008,HRV,CAN,n.a.,n.a.,n.a.,n.a.,Ulemek (Select Office Equipment) v. Croatia,UNCITRAL,n.a.,Canada-Croatia BIT,Manufacturing (office equipment),MFG,CAD2.6m ,3,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2012,pending,HRV,AUT,n.a.,n.a.,n.a.,n.a.,Georg Gavrilovic and Gavrilovic d.o.o. v. Republic of Croatia,ICSID,ARB/12/39,Austria-Croatia BIT,Agricultural enterprise (meat),AGR,Over US$200m,200,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,HRV,BELLUX,n.a.,n.a.,n.a.,n.a.,"Lieven J. van Riet, Chantal C. van Riet and Christopher van Riet v. Republic of Croatia",ICSID,ARB/13/12,Belgium & Luxembourg-Croatia BIT,Tourism (resort),SER,Approximately US$30m,30,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,HRV,HUN,n.a.,n.a.,n.a.,n.a.,MOL Hungarian oil and Gas Company Plc v. Republic of Croatia,ICSID,ARB/13/32,Energy Charter Treaty,Oil and gas,OIL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2009,pending,HUN,FRA,n.a.,n.a.,n.a.,n.a.,EDF International SA v. Republic of Hungary,UNCITRAL,n.a.,Energy Charter Treaty,Electric power concession,UTL,Over US$100m,100,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2007,pending,HUN,BELLUX,FRA,n.a.,n.a.,n.a.,Electrabel SA v. Republic of Hungary,ICSID,ARB/07/19,Energy Charter Treaty,Electric power concession,UTL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,HUN,FRA,n.a.,n.a.,n.a.,n.a.,Sodexo Pass International SAS v. Hungary,ICSID,ARB/14/20,France-Hungary BIT,Retail (restaurants),SER,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,HUN,FRA,n.a.,n.a.,n.a.,n.a.,Le Chèque D_jeuner and C.D Holding Internationale v. Hungary,ICSID,ARB/13/35,France-Hungary BIT,Retail (restaurants),SER,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,HUN,FRA,n.a.,n.a.,n.a.,n.a.,Edenred S.A. v. Hungary,ICSID,ARB/13/21,France-Hungary BIT,Retail (restaurants),SER,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,HUN,PRT,n.a.,n.a.,n.a.,n.a.,Dan Cake (Portugal) S.A. v. Hungary,ICSID,ARB/12/9,Hungary-Portugal BIT,Bakery,MFG,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,HUN,GBR,BMU,n.a.,n.a.,n.a.,Accession Mezzanine Capital L.P. and DanubiusKeresked_h‡z Vagyonkezel_ Zrt. v. Hungary,ICSID,ARB/12/3,Hungary-UK BIT,Broadcasting enterprise (radio),TEL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2001,2002,HUN,GBR,n.a.,n.a.,n.a.,n.a.,AES Summit Generation Ltd. v. Hungary ,ICSID,ARB/01/4,"Hungary-United Kingdom BIT, Energy Charter Treaty",Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2011,2014,HUN,CYP,n.a.,n.a.,n.a.,n.a.,Vigotop Limited v. Hungary,ICSID,ARB/11/22,Cyprus-Hungary BIT,Tourism (resort),SER,Range: Between Û278.3m and Û312.6m,382.5,yes,state,0,0,no,n.a.,n.a.,n.a.
2012,2014,HUN,NLD,CHE,n.a.,n.a.,n.a.,"Emmis International Holding B.V., Emmis Radio Operating B.V., MEM Magyar Electronic Media Kereskedelmi Szolg‡ltat— Kft. v. Hungary  ",ICSID,ARB/12/2,"Hungary-Netherlands BIT, Hungary-Switzerland BIT",Broadcasting enterprise (radio),TEL,unknown,unknown,yes,state,0,0,no,n.a.,n.a.,n.a.
2004,2006,HUN,NOR,n.a.,n.a.,n.a.,n.a.,Telenor Mobile Communications AS v. Republic of Hungary ,ICSID,ARB/04/15,Hungary-Norway BIT,Telecommunications (fixed and mobile),TEL,Between approximately US$76m and US$152m,76,yes,state,0,0,no,n.a.,n.a.,n.a.
2003,2006,HUN,CYP,n.a.,n.a.,n.a.,n.a.,ADC Affiliate Limited and ADC & ADMC Management Limited v. Republic of Hungary ,ICSID,ARB/03/16,Cyprus-Hungary BIT,Airport,SER,US$244373347 (Note: includes interest up to award),244.4,yes,investor,US$82.6,82.6,no,n.a.,n.a.,n.a.
2007,2010,HUN,GBR,n.a.,n.a.,n.a.,n.a.,AES Summit Generation Limited and AES-Tisza Eromu Kft. v. Republic of Hungary ,ICSID,ARB/07/22,Energy Charter Treaty,Electric power concession,UTL,unknown,unknown,yes,state,0,0,yes,2011,2012,upheld
2011,2014,IDN,SAU,n.a.,n.a.,n.a.,n.a.,Hesham T. M. Al Warraq v. Republic of Indonesia,UNCITRAL,n.a.,"Agreement on Promotion, Protection and Guarantee of Investments among Member States of the Organisation of the Islamic Conference",Banking,FIN,US$9671060,9.7,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2012,pending,IDN,GBR,n.a.,n.a.,n.a.,n.a.,"Churchill Mining and Planet Mining Pty Ltd, formerly ARB/12/14 v. Republic of Indonesia",ICSID,ARB/12/14 and 12/40),"Indonesia-UK BIT, Austria-Indonesia BIT",Mining,MIN,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2004,2004,IDN,SGP,n.a.,n.a.,n.a.,n.a.,Cemex Asia Holdings Ltd v. Indonesia [Brought by Singaporean subsidiary of Cemex SA de CV (Mexico)],ICSID,ARB/04/3,"Contract, ASEAN Agreement for the Promotion and Protection of Investments (1987)",Manufacturing (cement),MFG,Approximately US$400m,400,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2014,2014,IDN,NLD,n.a.,n.a.,n.a.,n.a.,Nusa Tenggara Partnership B.V. and PT Newmont Nusa Tenggara v. Republic of Indonesia,ICSID,ARB/14/15,Indonesia-Netherlands BIT,Mining (copper and gold),MIN,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1998,1999,IDN,USA,n.a.,n.a.,n.a.,n.a.,Himpurna Califonia v. Indonesia,UNCITRAL,n.a.,Contract with host state,Electric power concession,UTL,US$315046166,315,yes,investor,Tribunal revised downward due to pre-contractual expenditures; US$273757306,273.8,n.a.,n.a.,n.a.,n.a.
2011,2014,IDN,GBR,n.a.,n.a.,n.a.,n.a.,Rafat Ali Rizvi v. Republic of Indonesia,ICSID,ARB/11/13,Indonesia-United Kingdom BIT,Banking,FIN,unknown,unknown,yes,state,0,0,yes,2013,pending,pending
2013,pending,IND,DEU,n.a.,n.a.,n.a.,n.a.,Deutsche Telekom AG v. India,UNCITRAL,n.a.,Germany-India BIT,Telecommunications,TEL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,IND,MUS,n.a.,n.a.,n.a.,n.a.,Khaitan Holdings (Mauritius) Limited v. India,UNCITRAL,n.a.,Mauritius-India BIT,Telecommunications (mobile),TEL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2014,pending,IND,NLD,n.a.,n.a.,n.a.,n.a.,Vodafone v. India,UNCITRAL,n.a.,Netherlands-India BIT,Telecommunications,TEL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2004,2005,IND,AUT,n.a.,n.a.,n.a.,n.a.,Erste Bank Der Oesterreichischen Sparkassen AG v. India,UNCITRAL,n.a.,Austria-India BIT,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2005,IND,FRA,n.a.,n.a.,n.a.,n.a.,BNP Paribas v. India,UNCITRAL,n.a.,France-India BIT,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2005,IND,FRA,n.a.,n.a.,n.a.,n.a.,Credit Lyonnais SA (now Calyon SA) v. India,UNCITRAL,n.a.,France-India BIT,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2005,IND,NLD,n.a.,n.a.,n.a.,n.a.,"Offshore Power Production CV, Travamark Two BV, EFS India-Energy BV, Enron BV, & Indian Power Investments BV (Netherlands) v. India",UNCITRAL,n.a.,India-Netherlands BIT,Electric power concession,UTL,Over US$4b,4000,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2006,IND,NLD,n.a.,n.a.,n.a.,n.a.,ABN Amro NV v. India,UNCITRAL,n.a.,India-Netherlands BIT,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2005,IND,CHE,n.a.,n.a.,n.a.,n.a.,Credit Suisse First Boston v. India,UNCITRAL,n.a.,India-Switzerland BIT,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2005,IND,GBR,n.a.,n.a.,n.a.,n.a.,ANZEF Ltd. V. India,UNCITRAL,n.a.,India-United Kingdom BIT,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,2005,IND,GBR,n.a.,n.a.,n.a.,n.a.,Standard Chartered Bank v. India,UNCITRAL,n.a.,India-United Kingdom BIT,Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2003,2005,IND,MUS,n.a.,n.a.,n.a.,n.a.,Capital India Power Mauritius I & Energy Enterprises (Mauritius) Company v. Government of India,ICC,n.a.,India-Mauritius BIT,Electric power concession,UTL,Each of the two investors claims approximately US$600m,1200,yes,investor,"US$97.4m, plus interest and all legal costs",97.4,no,n.a.,n.a.,n.a.
2008,2014,IRN,TUR,n.a.,n.a.,n.a.,n.a.,Turkcell v. Iran ,UNCITRAL,n.a.,Iran-Turkey BIT,Telecommunications (mobile),TEL,unknown,unknown,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2014,pending,ITA,BEL,FRA,DEU,n.a.,n.a.,"Blusun S.A., Jean-Pierre Lecorcier and Michael Stein v. Italian Republic",ICSID,ARB/14/3,Energy Charter Treaty,Electric power concession (photovoltaic),UTL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,JOR,KWT,n.a.,n.a.,n.a.,n.a.,Fouad Alghanim & Sons Co. and others v. Jordan,ICSID,ARB/13/38,Jordan-Kuwait BIT,Telecommunications,TEL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2002,2004,JOR,GBR,n.a.,n.a.,n.a.,n.a.,JacobsGibb Limited v. Hashemite Kingdom of Jordan ,ICSID,ARB/02/12,Jordan-United Kingdom BIT,Water services concession,UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2007,2009,JOR,USA,n.a.,n.a.,n.a.,n.a.,"Trans-Global Petroleum, Inc. v. Hashemite Kingdom of Jordan",ICSID,ARB/07/25,Jordan-United States BIT ,Oil and gas (exploration),OIL,US$540m,540,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2009,2011,JOR,KWT,n.a.,n.a.,n.a.,n.a.,International Company for Railway Systems (ICRS) and Privatization Holding Company (PHC) v. Hashemite Kingdom of Jordan ,ICSID,ARB/09/13,"Kuwait-Jordan BIT, Contract",Transportation (rail),UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2002,2006,JOR,ITA,n.a.,n.a.,n.a.,n.a.,Salini Costruttori S.p.A. & Italstrade S.p.A. v. Hashemite Kingdom of Jordan ,ICSID,ARB/02/13,Italy-Jordan BIT,Electric power concession (hydro),UTL,Approximately US$28m,28,yes,state,0,0,no,n.a.,n.a.,n.a.
2008,2010,JOR,TUR,n.a.,n.a.,n.a.,n.a.,"ATA Construction, Industrial and Trading Company v. Hashemite Kingdom of Jordan",ICSID,ARB/08/2,Jordan-Turkey BIT,Water services concession,UTL,unknown,unknown,yes,state,0,0,yes,2010,2011,discontinued
2010,2013,KAZ,KAZ,n.a.,n.a.,n.a.,n.a.,Ruby Roz Agricol and Kaseem Omar v. Kazakhstan,UNCITRAL,n.a.,Kazakhstan Investment Law (1994),Agricultural enterprise (poultry),AGR,US$214.7m,214.7,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2001,2004,KAZ,USA,n.a.,n.a.,n.a.,n.a.,CCL Oil v. Kazakhstan ,SCC,122/2001,Kazakhstan-United States BIT,Oil and gas,OIL,Û178892338,190,yes,state,0,0,n.a.,n.a.,n.a.,n.a.
2013,pending,KAZ,USA,n.a.,n.a.,n.a.,n.a.,Caratube International Oil Company LLP and Devincci Salah Hourani v. Republic of Kazakhstan,ICSID,ARB/13/13,"Kazakhstan-United States BIT, Contract, Kazakhstan Investment Law (1994)",Oil and gas (exploration),OIL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2013,pending,KAZ,CAN,n.a.,n.a.,n.a.,n.a.,World Wide Minerals v. KazakhstanÊ,UNCITRAL,n.a.,USSR-Canada BITÊ,Mining (uranium),MIN,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2002,2004,KAZ,CYM,n.a.,n.a.,n.a.,n.a.,Enrho St Limited v. Republic of Kazakhstan ,ICSID,ARB/02/11,Kazakhstan Investment Law (1994),Electric power concession,UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2011,2014,KAZ,TUR,n.a.,n.a.,n.a.,n.a.,TŸrkiye Petrolleri Anonim Ortaklõ_õ v. Republic of Kazakhstan,ICSID,ARB/11/2,"Turkey-Kazakhstan BIT, Energy Charter Treaty",Oil and gas (exploration),OIL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2010,2013,KAZ,MDA,ROM,GIB,n.a.,n.a.,"Anatolie Stati, Gabriel Stati, Ascom Group SA & Terra Raf Trans Traiding vs. Kazakhstan",SCC,1:14-cv-00175-ABJ,Energy Charter Treaty,Oil and gas (exploration),OIL,US$2631m,2631,yes,investor,US$497m (claimant to pay two thirds of arbitration cost and half of Claimant's legal costs),497,n.a.,n.a.,n.a.,n.a.
1996,1999,KAZ,USA,n.a.,n.a.,n.a.,n.a.,"Biedermann International, Inc. v. Kazakhstan",SCC,97/1996,Kazakhstan-United States BIT,Oil and gas,OIL,unknown,unknown,yes,investor,US$8.89m,8.9,n.a.,n.a.,n.a.,n.a.
2007,2010,KAZ,NLD,n.a.,n.a.,n.a.,n.a.,Liman Caspian Oil BV & NCL Dutch Investment BV v. Republic of Kazakhstan,ICSID,ARB/07/14 ,Energy Charter Treaty,Oil and gas,OIL,unknown,unknown,yes,state,0,0,no,n.a.,n.a.,n.a.
2010,2013,KAZ,USA,n.a.,n.a.,n.a.,n.a.,AES Corporation and Tau Power B.V. v. Republic of Kazakhstan,ICSID,ARB/10/16,"Kazakhstan-United States BIT, Kazakhstan Investment Law (1994), Energy Charter Treaty",Electric power concession,UTL,US$1.29b,1290,yes,state,0,0,no,n.a.,n.a.,n.a.
2001,2003,KAZ,USA,n.a.,n.a.,n.a.,n.a.,"AIG Capital Partners, Inc. & CJSC Tema Real Estate Company v. Kazakhstan ",ICSID,ARB/01/6,Kazakhstan-United States BIT,Real estate (residential),RE,unknown,unknown,yes,investor,"US$9951709, plus continuing interest",10,no,n.a.,n.a.,n.a.
2009,2013,KAZ,NLD,n.a.,n.a.,n.a.,n.a.,KT Asia Investment Group B.V. v. Republic of Kazakhstan,ICSID,ARB/09/8,Kazakhstan-Netherlands BIT,Banking,FIN,Range: Between US$500m and US$1.5b,500,yes,state,0,0,yes,2014,2014,discontinued
2008,2012,KAZ,USA,n.a.,n.a.,n.a.,n.a.,Caratube International Oil Company LLP v. Republic of Kazakhstan ,ICSID,ARB/08/12,Kazakhstan-United States BIT,Oil and gas (exploration),OIL,US$2035000000,2035,yes,state,0,0,yes,2012,2014,upheld
2005,2008,KAZ,TUR,n.a.,n.a.,n.a.,n.a.,Rumeli Telekom AS & Telsim Mobil Telekomunikasyon Hizmetleri AS v. Republic of Kazakhstan,ICSID,ARB/05/16,"Kazakhstan-Turkey BIT, Kazakhastan investment Law (1994)",Telecommunications,TEL,Up to US$458m ,458,yes,investor,"US$125m, plus interest and legal fees",125,yes,2008,2010,upheld
2000,2006,KEN,GBR,n.a.,n.a.,n.a.,n.a.,World Duty Free Company Limited v. Republic of Kenya  ,ICSID,ARB/00/7,Contract with host state,Duty free concession,SER,Approximately US$500m,500,yes,state,0,0,no,n.a.,n.a.,n.a.
2013,pending,KGZ,KAZ,n.a.,n.a.,n.a.,n.a.,Consolidated Exploration Holdings Ltd. and others v. Kyrgyz Republic,ICSID,ARB(AF)/13/1,"Kazakhstan-Kyrgyzstan BIT, Kyrgyz Investment Law (2003), Moscow Convention for the Protection of InvestorsÕ Rights",Mining (gold),MIN,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2006,2008,KGZ,GBR,n.a.,n.a.,n.a.,n.a.,Oxus Gold v. Kyrgyzstan,UNCITRAL,n.a.,United Kingdom-Kyrgyzstan BIT,Mining,MIN,Approximately US$630m,630,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2003,2005,KGZ,GIB,n.a.,n.a.,n.a.,n.a.,Petrobart v. Kyrgyzstan,SCC,126/2003,Energy Charter Treaty,Oil and gas,OIL,US$4084651 plus interest,4.1,yes,investor,"US$1130859, plus interest (each party to pay their own legal fees)",1.1,n.a.,n.a.,n.a.,n.a.
2013,2014,KGZ,CAN,n.a.,n.a.,n.a.,n.a.,Stans Energy v. Kyrgyz Republic,MCC,n.a.,Moscow Convention for the Protection of InvestorsÕ Rights,Mining (rare earths),MIN,US$117.8m,117.8,yes,investor,US$118m,118,n.a.,n.a.,n.a.,n.a.
2013,2014,KGZ,RUS,n.a,n.a.,n.a.,n.a.,OKKV (OKKB) and others v. Kyrgyz Republic,MCC,A-2013/10,Moscow Convention for the Protection of InvestorsÕ Rights,Tourism,SER,US$2343862,2.3,yes,investor,US$2.2m,2.2,n.a.,n.a.,n.a.,n.a.
2013,2014,KGZ,KOR,n.a.,n.a.,n.a.,n.a.,Lee John Beck and Central Asian Development Corporation v. Kyrgyz Republic,MCC,n.a.,Moscow Convention for the Protection of InvestorsÕ Rights,unknown,unknown,unknown,unknown,yes,investor,US$23m,23,n.a.,n.a.,n.a.,n.a.
2006,2009,KGZ,TUR,n.a.,n.a.,n.a.,n.a.,Sistem Muhendislik Insaat Sanayi ve Ticaret AS v. Kyrgyz Republic ,ICSID AF,ARB(AF)/06/1,"Kyrgyz Republic-Turkey BIT , Kyrgyz Investment Law (2003)",Tourism (hotel),SER,US$19.9m to $24.8m depending on valuation method,19.9,yes,investor,"US$8.5m, plus interest (Respondent to pay Claimant US$400k for legal costs and $247410 for cost of arbitration)",8.5,no,n.a.,n.a.,n.a.
2009,2013,KHM,USA,n.a.,n.a.,n.a.,n.a.,Cambodia Power Company v. Kingdom of Cambodia,ICSID,ARB/09/18,Contract with host state,Electric power concession,UTL,US$65m,65,yes,state,0,0,no,n.a.,n.a.,n.a.
1995,1997,KNA,USA,n.a.,n.a.,n.a.,n.a.,"Cable Television of Nevis, Ltd. and Cable Television of Nevis Holdings, Ltd. v. Federation of St. Kitts and Nevis ",ICSID,ARB/95/2,Contract with host state,Broadcasting enterprise (television),TEL,unknown,unknown,yes,state,0,0,no,n.a.,n.a.,n.a.
2012,pending,KOR,BELLUX,n.a.,n.a.,n.a.,n.a.,"LSF-KEB Holdings SCA and others v. Republic of Korea  
",ICSID,ARB/12/37,Belgium & Luxembourg-Korea BIT,Banking,FIN,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,pending,LAO,CHN,n.a.,n.a.,n.a.,n.a.,Sanum Investments Limited v. Lao PeopleÕs Democratic Republic,PCA,2013-13,China-the Lao PeopleÕs Democratic Republic BIT,Tourism (resort),SER,US$235m,235,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2012,2014,LAO,NLD,n.a.,n.a.,n.a.,n.a.,Lao Holdings N.V. v. Lao PeopleÕs Democratic Republic   ,ICSID,ARB(AF)/12/6,Laos-Netherlands BIT,Tourism (resort),SER,Not less than US$400m,400,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2007,2009,LAO,THA,n.a.,n.a.,n.a.,n.a.,"Thai-Lao Lignite Co., Ltd. and Hongsa Lignite Co., Ltd., vs. Laos",UNCITRAL,n.a.,Contract with host state,Electric power concession (coal),UTL,US$447m,447,yes,investor,US$56.21m,56.2,n.a.,n.a.,n.a.,n.a.
2002,2005,LBN,FRA,n.a.,n.a.,n.a.,n.a.,France Telecom v. Lebanon,UNCITRAL,n.a.,France-Lebanon BIT,"Telecommunications (mobile, GSM)",TEL,"Approximately US$952m, plus interest",952,yes,investor,US$266m,266,n.a.,n.a.,n.a.,n.a.
2007,2012,LBN,ITA,n.a.,n.a.,n.a.,n.a.,Toto Costruzioni Generali SpA v. Republic of Lebanon  ,ICSID,ARB/07/12,Lebanon-Italy BIT,Highway construction project ,UTL,US$10.694m,10.7,yes,state,0,0,yes,2012,2013,discontinued
2011,pending,LBR,CAN,n.a.,n.a.,n.a.,n.a.,"Diamond Fields Liberia, Inc. v. Republic of Liberia",ICSID,ARB/11/14,Contract with host state,Mining (minerals),MIN,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1998,2002,LBR,USA,n.a.,n.a.,n.a.,n.a.,International Trust Company of Liberia v. Republic of Liberia ,ICSID,ARB/98/3,other (as coded by ICSID),Maritime services,UTL,unknown,unknown,yes,settlement,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2012,pending,LCA,USA,n.a.,n.a.,n.a.,n.a.,RSM Production Corporation v. Saint Lucia,ICSID,ARB/12/10,Contract with host state,Oil and gas,OIL,unknown,unknown,no,pending,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
